Edge 	Weight
6271 - 473 	6514
33440 - 474 	1137
49413 - 475 	6789
8068 - 476 	11338
12148 - 477 	7452
46034 - 478 	9510
26389 - 479 	551
22459 - 480 	335
17579 - 481 	9521
11718 - 482 	6468
15175 - 483 	9641
30942 - 484 	2907
18434 - 485 	1242
25439 - 486 	1372
16047 - 487 	1069
37400 - 488 	10640
13234 - 489 	4827
31263 - 490 	634
44930 - 491 	7473
25864 - 492 	7434
9392 - 493 	6535
34398 - 494 	3371
11113 - 495 	8602
14050 - 496 	5067
17540 - 497 	11530
30339 - 498 	15841
41246 - 499 	11016
2699 - 500 	12692
7476 - 501 	675
26482 - 502 	102
32641 - 503 	8757
48098 - 504 	2979
38500 - 505 	14770
3134 - 506 	4829
15836 - 507 	10951
28683 - 508 	8019
20977 - 509 	6517
15731 - 510 	7187
22455 - 511 	8400
10666 - 512 	1668
36972 - 513 	6141
13524 - 514 	261
2639 - 515 	10974
9660 - 516 	4356
46605 - 517 	2208
26820 - 518 	329
25327 - 519 	3802
34683 - 520 	2535
8589 - 521 	7193
22228 - 522 	5145
38082 - 523 	11793
21345 - 524 	2110
3940 - 525 	13551
5761 - 526 	7609
37741 - 527 	11325
6361 - 528 	7955
33656 - 529 	3810
14800 - 530 	188
19286 - 531 	2760
10108 - 532 	8317
47025 - 533 	9582
10483 - 534 	13958
27274 - 535 	2688
11270 - 536 	8551
44295 - 537 	3008
34649 - 538 	4850
22616 - 539 	4714
41960 - 540 	8857
14957 - 541 	6416
17639 - 542 	9674
11180 - 543 	740
35726 - 544 	29363
2756 - 545 	1446
10175 - 546 	3424
15639 - 547 	7085
28339 - 548 	8966
19997 - 549 	4074
7338 - 550 	13814
17953 - 551 	938
7178 - 552 	436
43962 - 553 	958
332 - 554 	9460
17871 - 555 	5968
18259 - 556 	6830
44546 - 557 	4586
6619 - 558 	3251
14858 - 559 	2996
2296 - 560 	4354
47414 - 561 	1401
31201 - 562 	5225
13615 - 563 	490
7720 - 564 	18082
45343 - 565 	10849
419 - 566 	6530
26682 - 567 	9113
9349 - 568 	1895
29957 - 569 	12523
2727 - 570 	4491
44043 - 571 	2345
44362 - 572 	7017
48864 - 573 	1646
7987 - 574 	5391
7266 - 575 	10651
33041 - 576 	17043
1600 - 577 	2546
34711 - 578 	2283
36442 - 579 	9205
22231 - 580 	8175
44442 - 581 	6907
12924 - 582 	14628
37844 - 583 	4128
18370 - 584 	3054
12001 - 585 	2576
38252 - 586 	8466
49121 - 587 	6106
39558 - 588 	4930
6931 - 589 	6966
