Edge 	Weight
990 - 588 	364 
4942 - 589 	1027 
8142 - 590 	1702 
5255 - 591 	29 
7235 - 592 	1284 
6393 - 593 	656 
9984 - 594 	294 
7709 - 595 	1154 
7285 - 596 	80 
4046 - 597 	862 
4877 - 598 	127 
9454 - 599 	1221 
1165 - 600 	1763 
885 - 601 	855 
7026 - 602 	1803 
4382 - 603 	1919 
9817 - 604 	322 
9249 - 605 	1437 
6270 - 606 	223 
4763 - 607 	1363 
5695 - 608 	474 
9145 - 609 	465 
8314 - 610 	1968 
1285 - 611 	886 
8657 - 612 	144 
2235 - 613 	2354 
9092 - 614 	665 
3095 - 615 	1476 
2586 - 616 	1146 
247 - 617 	1259 
9409 - 618 	2091 
5777 - 619 	1346 
3956 - 620 	84 
9137 - 621 	466 
4522 - 622 	1094 
8074 - 623 	1253 
1341 - 624 	1169 
5935 - 625 	412 
9028 - 626 	1896 
7563 - 627 	433 
3882 - 628 	3395 
7872 - 629 	598 
3281 - 630 	776 
9853 - 631 	1588 
5642 - 632 	581 
9248 - 633 	308 
5619 - 634 	1530 
5859 - 635 	513 
3319 - 636 	141 
963 - 637 	1587 
3146 - 638 	3436 
7773 - 639 	559 
3324 - 640 	1210 
6824 - 641 	756 
2259 - 642 	432 
3985 - 643 	2521 
8285 - 644 	1132 
5389 - 645 	917 
8982 - 646 	2518 
7709 - 647 	1157 
5119 - 648 	675 
2496 - 649 	1058 
2275 - 650 	583 
3607 - 651 	370 
9017 - 652 	471 
5580 - 653 	389 
9293 - 654 	2829 
2736 - 655 	2518 
1356 - 656 	1368 
659 - 657 	1334 
6522 - 658 	195 
8736 - 659 	2318 
9453 - 660 	1312 
2059 - 661 	724 
7192 - 662 	1106 
4994 - 663 	2097 
2898 - 664 	620 
407 - 665 	790 
5572 - 666 	359 
4652 - 667 	1049 
7772 - 668 	2463 
3261 - 669 	220 
1451 - 670 	3033 
2110 - 671 	598 
5759 - 672 	167 
1951 - 673 	2142 
6434 - 674 	735 
1370 - 675 	1240 
3480 - 676 	799 
1183 - 677 	1 
